,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
2240,22327341,Neurogenic and myogenic contributions to hereditary motor neuron disease.,"Bricceno KV, Fischbeck KH, Burnett BG.",Neurodegener Dis. 2012;9(4):199-209. doi: 10.1159/000335311. Epub 2012 Feb 9. Review.,2/14/2012,2012
2243,22366762,Toxic and non-toxic aggregates from the SBMA and normal forms of androgen receptor have distinct oligomeric structures.,"Jochum T, Ritz ME, Schuster C, Funderburk SF, Jehle K, Schmitz K, Brinkmann F, Hirtz M, Moss D, Cato AC.",Biochim Biophys Acta. 2012 Jun;1822(6):1070-8. doi: 10.1016/j.bbadis.2012.02.006. Epub 2012 Feb 15.,3/1/2012,2012
2246,22381992,Complications after cardiovascular surgery in a case of undiagnosed spinal-bulbar muscular atrophy (Kennedy disease).,"Skoretz SA, Yee MS, Martino R.",Am J Crit Care. 2012 Mar;21(2):139-8. doi: 10.4037/ajcc2012453.,3/3/2012,2012
2249,22402717,[Disease-modifying therapy for spinal and bulbar muscular atrophy (SBMA)].,"Suzuki K, Banno H, Katsuno M, Adachi H, Tanaka F, Sobue G.",Brain Nerve. 2012 Mar;64(3):237-44. Review. Japanese.,3/10/2012,2012
2253,22415521,Growth assays to assess polyglutamine toxicity in yeast.,Duennwald ML.,J Vis Exp. 2012 Mar 5;(61):e3461. doi: 10.3791/3461.,3/15/2012,2012
2257,22438791,Post-translational modifications of nuclear receptors and human disease.,"Anbalagan M, Huderson B, Murphy L, Rowan BG.",Nucl Recept Signal. 2012;10:e001. doi: 10.1621/nrs.10001. Epub 2012 Feb 27. Review.,3/23/2012,2012
2260,22476656,Pathogenesis and molecular targeted therapy of spinal and bulbar muscular atrophy (SBMA).,"Banno H, Katsuno M, Suzuki K, Tanaka F, Sobue G.",Cell Tissue Res. 2012 Jul;349(1):313-20. doi: 10.1007/s00441-012-1377-9. Epub 2012 Apr 4. Review.,4/6/2012,2012
2263,22503213,Cancer incidence in patients with polyglutamine diseases: a population-based study in Sweden.,"Ji J, Sundquist K, Sundquist J.",Lancet Oncol. 2012 Jun;13(6):642-8. doi: 10.1016/S1470-2045(12)70132-8. Epub 2012 Apr 12.,4/17/2012,2012
2266,22570336,Disruption of nongenomic testosterone signaling in a model of spinal and bulbar muscular atrophy.,"Schindler M, Fabre C, de Weille J, Carreau S, Mersel M, Bakalara N.",Mol Endocrinol. 2012 Jul;26(7):1102-16. doi: 10.1210/me.2011-1367. Epub 2012 May 8.,5/10/2012,2012
2269,22609045,Pathogenesis and therapy of spinal and bulbar muscular atrophy (SBMA).,"Katsuno M, Tanaka F, Adachi H, Banno H, Suzuki K, Watanabe H, Sobue G.",Prog Neurobiol. 2012 Dec;99(3):246-56. doi: 10.1016/j.pneurobio.2012.05.007. Epub 2012 May 15. Review.,5/23/2012,2012
2272,22613760,Frontal dysfunctions of ALS-PBP patients in relation to their bulbar symptoms and rCBF decline.,"Morimoto N, Kurata T, Sato K, Ikeda Y, Sato S, Abe K.",J Neurol Sci. 2012 Aug 15;319(1-2):96-101. doi: 10.1016/j.jns.2012.04.020. Epub 2012 May 19.,5/23/2012,2012
2275,22660636,Viral delivery of miR-196a ameliorates the SBMA phenotype via the silencing of CELF2.,"Miyazaki Y, Adachi H, Katsuno M, Minamiyama M, Jiang YM, Huang Z, Doi H, Matsumoto S, Kondo N, Iida M, Tohnai G, Tanaka F, Muramatsu S, Sobue G.",Nat Med. 2012 Jul;18(7):1136-41. doi: 10.1038/nm.2791.,6/5/2012,2012
2279,22668795,Developing treatment for spinal and bulbar muscular atrophy.,Fischbeck KH.,Prog Neurobiol. 2012 Dec;99(3):257-61. doi: 10.1016/j.pneurobio.2012.05.012. Epub 2012 Jun 2. Review.,6/7/2012,2012
2283,22720173,Current status of treatment of spinal and bulbar muscular atrophy.,"Tanaka F, Katsuno M, Banno H, Suzuki K, Adachi H, Sobue G.",Neural Plast. 2012;2012:369284. doi: 10.1155/2012/369284. Epub 2012 Jun 7. Review.,6/22/2012,2012
2287,22736030,A polyglutamine expansion disease protein sequesters PTIP to attenuate DNA repair and increase genomic instability.,"Xiao H, Yu Z, Wu Y, Nan J, Merry DE, Sekiguchi JM, Ferguson DO, Lieberman AP, Dressler GR.",Hum Mol Genet. 2012 Oct 1;21(19):4225-36. doi: 10.1093/hmg/dds246. Epub 2012 Jun 26.,6/28/2012,2012
2290,22773541,Longitudinal changes of outcome measures in spinal and bulbar muscular atrophy.,"Hashizume A, Katsuno M, Banno H, Suzuki K, Suga N, Mano T, Atsuta N, Oe H, Watanabe H, Tanaka F, Sobue G.",Brain. 2012 Sep;135(Pt 9):2838-48. doi: 10.1093/brain/aws170. Epub 2012 Jul 6.,7/10/2012,2012
2294,22829593,The in vivo role of androgen receptor SUMOylation as revealed by androgen insensitivity syndrome and prostate cancer mutations targeting the proline/glycine residues of synergy control motifs.,"Mukherjee S, Cruz-Rodríguez O, Bolton E, Iñiguez-Lluhí JA.",J Biol Chem. 2012 Sep 7;287(37):31195-206. doi: 10.1074/jbc.M112.395210. Epub 2012 Jul 24.,7/26/2012,2012
2297,22872761,Regulation of the androgen receptor by post-translational modifications.,"Coffey K, Robson CN.",J Endocrinol. 2012 Nov;215(2):221-37. doi: 10.1530/JOE-12-0238. Epub 2012 Aug 7. Review.,8/9/2012,2012
2301,22900086,Conditional knockout of the Menkes disease copper transporter demonstrates its critical role in embryogenesis.,"Wang Y, Zhu S, Weisman GA, Gitlin JD, Petris MJ.",PLoS One. 2012;7(8):e43039. doi: 10.1371/journal.pone.0043039. Epub 2012 Aug 10.,8/18/2012,2012
2305,22919202,Klinefelter's syndrome associated with progressive muscular atrophy simulating Kennedy's disease.,Caballero PE.,Ann Indian Acad Neurol. 2012 Jul;15(3):227-9. doi: 10.4103/0972-2327.99730.,8/25/2012,2012
2308,22941760,Cross-sectional and longitudinal analysis of an oxidative stress biomarker for spinal and bulbar muscular atrophy.,"Mano T, Katsuno M, Banno H, Suzuki K, Suga N, Hashizume A, Tanaka F, Sobue G.",Muscle Nerve. 2012 Nov;46(5):692-7. doi: 10.1002/mus.23413. Epub 2012 Aug 31.,9/4/2012,2012
2312,22952056,Insulinlike growth factor (IGF)-1 administration ameliorates disease manifestations in a mouse model of spinal and bulbar muscular atrophy.,"Rinaldi C, Bott LC, Chen KL, Harmison GG, Katsuno M, Sobue G, Pennuto M, Fischbeck KH.",Mol Med. 2012 Dec 6;18:1261-8. doi: 10.2119/molmed.2012.00271.,9/7/2012,2012
2315,23023499,Naratriptan mitigates CGRP1-associated motor neuron degeneration caused by an expanded polyglutamine repeat tract.,"Minamiyama M, Katsuno M, Adachi H, Doi H, Kondo N, Iida M, Ishigaki S, Fujioka Y, Matsumoto S, Miyazaki Y, Tanaka F, Kurihara H, Sobue G.",Nat Med. 2012 Oct;18(10):1531-8. doi: 10.1038/nm.2932. Epub 2012 Sep 30.,10/2/2012,2012
2318,23024039,Role of androgen receptor polyQ chain elongation in Kennedy's disease and use of natural osmolytes as potential therapeutic targets.,Kumar R.,IUBMB Life. 2012 Nov;64(11):879-84. doi: 10.1002/iub.1088. Epub 2012 Sep 29. Review.,10/2/2012,2012
2321,23062703,FUS is not dysregulated by the spinal bulbar muscular atrophy androgen receptor polyglutamine repeat expansion.,"Fratta P, Malik B, Gray A, La Spada AR, Hanna MG, Fisher EM, Greensmith L.",Neurobiol Aging. 2013 May;34(5):1516.e17-9. doi: 10.1016/j.neurobiolaging.2012.09.008. Epub 2012 Oct 9.,10/16/2012,2012
2324,23121864,Goserelin cannot improve the weakness of a patient with kennedy disease after 40-week administration.,"Shi ZG, Jiang DK, Zhao M, Zhang SQ.",CNS Neurosci Ther. 2012 Dec;18(12):1021-3. doi: 10.1111/cns.12022. Epub 2012 Nov 2. No abstract available.,11/6/2012,2012
2327,23146615,Assessment of swallowing in motor neuron disease and Asidan/SCA36 patients with new methods.,"Morimoto N, Yamashita T, Sato K, Kurata T, Ikeda Y, Kusuhara T, Murata N, Abe K.",J Neurol Sci. 2013 Jan 15;324(1-2):149-55. doi: 10.1016/j.jns.2012.10.025. Epub 2012 Nov 10.,11/14/2012,2012
2330,23157556,The androgen receptor in health and disease.,"Matsumoto T, Sakari M, Okada M, Yokoyama A, Takahashi S, Kouzmenko A, Kato S.",Annu Rev Physiol. 2013;75:201-24. doi: 10.1146/annurev-physiol-030212-183656. Epub 2012 Nov 13. Review.,11/20/2012,2012
2333,23196565,[Anti-androgen therapy for spinal and bulbar muscular atrophy (SBMA)].,"Katsuno M, Banno H, Suzuki K, Hashizume A, Adachi H, Tanaka F, Sobue G.",Rinsho Shinkeigaku. 2012;52(11):1207-9. Japanese.,12/1/2012,2012
2336,23196579,"[Non-invasive quantitative EMG: invention of the ""Clustering Index (CI)"" method].","Uesugi H, Sonoo M, Higashihara M, Stalberg E, Saito H.",Rinsho Shinkeigaku. 2012;52(11):1249-51. Japanese.,12/1/2012,2012
2339,23216624,Structural changes of central white matter tracts in Kennedy's disease - a diffusion tensor imaging and voxel-based morphometry study.,"Pieper CC, Konrad C, Sommer J, Teismann I, Schiffbauer H.",Acta Neurol Scand. 2013 May;127(5):323-8. doi: 10.1111/ane.12018. Epub 2012 Dec 6.,12/12/2012,2012
2343,23222885,Activation of Hsp70 reduces neurotoxicity by promoting polyglutamine protein degradation.,"Wang AM, Miyata Y, Klinedinst S, Peng HM, Chua JP, Komiyama T, Li X, Morishima Y, Merry DE, Pratt WB, Osawa Y, Collins CA, Gestwicki JE, Lieberman AP.",Nat Chem Biol. 2013 Feb;9(2):112-8. doi: 10.1038/nchembio.1140. Epub 2012 Dec 9.,12/12/2012,2012
2347,23247071,"CUG-BP, Elav-like family (CELF)-mediated alternative splicing regulation in the brain during health and disease.",Ladd AN.,Mol Cell Neurosci. 2013 Sep;56:456-64. doi: 10.1016/j.mcn.2012.12.003. Epub 2012 Dec 14. Review.,12/19/2012,2012
2351,23346158,Decremental responses to repetitive nerve stimulation in x-linked bulbospinal muscular atrophy.,"Kim JY, Park KD, Kim SM, Sunwoo IN.",J Clin Neurol. 2013 Jan;9(1):32-5. doi: 10.3988/jcn.2013.9.1.32. Epub 2013 Jan 3.,1/25/2013,2013
2354,23360996,Heat shock factor-1 influences pathological lesion distribution of polyglutamine-induced neurodegeneration.,"Kondo N, Katsuno M, Adachi H, Minamiyama M, Doi H, Matsumoto S, Miyazaki Y, Iida M, Tohnai G, Nakatsuji H, Ishigaki S, Fujioka Y, Watanabe H, Tanaka F, Nakai A, Sobue G.",Nat Commun. 2013;4:1405. doi: 10.1038/ncomms2417.,1/31/2013,2013
2357,23363377,"Genistein, a natural product derived from soybeans, ameliorates polyglutamine-mediated motor neuron disease.","Qiang Q, Adachi H, Huang Z, Jiang YM, Katsuno M, Minamiyama M, Doi H, Matsumoto S, Kondo N, Miyazaki Y, Iida M, Tohnai G, Sobue G.",J Neurochem. 2013 Jul;126(1):122-30. doi: 10.1111/jnc.12172. Epub 2013 Feb 27.,2/1/2013,2013
2361,23364790,Enhanced aggregation of androgen receptor in induced pluripotent stem cell-derived neurons from spinal and bulbar muscular atrophy.,"Nihei Y, Ito D, Okada Y, Akamatsu W, Yagi T, Yoshizaki T, Okano H, Suzuki N.",J Biol Chem. 2013 Mar 22;288(12):8043-52. doi: 10.1074/jbc.M112.408211. Epub 2013 Jan 30.,2/1/2013,2013
2364,23381934,Far-field potentials in hypothenar motor unit number estimation.,"Higashihara M, Sonoo M, Yamamoto T, Kawamura Y, Nagashima Y, Terao Y, Kaida K, Kimura F, Ugawa Y, Tsuji S.",Muscle Nerve. 2013 Aug;48(2):191-7. doi: 10.1002/mus.23734. Epub 2013 Feb 4.,2/6/2013,2013
2368,23393146,Co-induction of the heat shock response ameliorates disease progression in a mouse model of human spinal and bulbar muscular atrophy: implications for therapy.,"Malik B, Nirmalananthan N, Gray AL, La Spada AR, Hanna MG, Greensmith L.",Brain. 2013 Mar;136(Pt 3):926-43. doi: 10.1093/brain/aws343. Epub 2013 Feb 7.,2/9/2013,2013
2372,23408598,A role for androgen reduction treatment in Kennedy disease?,Fischbeck KH.,Muscle Nerve. 2013 Jun;47(6):789. doi: 10.1002/mus.23814. Epub 2013 Mar 21. No abstract available.,2/15/2013,2013
2375,23420040,New routes to therapy for spinal and bulbar muscular atrophy.,"Rocchi A, Pennuto M.",J Mol Neurosci. 2013 Jul;50(3):514-23. doi: 10.1007/s12031-013-9978-7. Epub 2013 Feb 19. Review.,2/20/2013,2013
2378,23444172,Myasthenic symptoms in a patient with Kennedy's disease.,"Stevic Z, Peric S, Pavlovic S, Basta I, Lavrnic D.",Acta Neurol Belg. 2014 Mar;114(1):71-3. doi: 10.1007/s13760-013-0189-3. Epub 2013 Feb 27. No abstract available.,2/28/2013,2013
2382,23473314,The unstable repeats--three evolving faces of neurological disease.,"Nelson DL, Orr HT, Warren ST.",Neuron. 2013 Mar 6;77(5):825-43. doi: 10.1016/j.neuron.2013.02.022. Review.,3/12/2013,2013
2385,23512333,An open trial of long-term testosterone suppression in spinal and bulbar muscular atrophy.,"Yamamoto T, Yokota K, Amao R, Maeno T, Haga N, Taguri M, Ohtsu H, Ichikawa Y, Goto J, Tsuji S.",Muscle Nerve. 2013 Jun;47(6):816-22. doi: 10.1002/mus.23759. Epub 2013 Mar 20.,3/21/2013,2013
2389,23515294,Convenient diagnosis of spinal and bulbar muscular atrophy using a microchip electrophoresis system.,"Maruyama H, Morino H, Izumi Y, Noda K, Kawakami H.",Am J Neurodegener Dis. 2013;2(1):35-9. Epub 2013 Mar 8.,3/22/2013,2013
2393,23618905,Androgen receptor inclusions acquire GRP78/BiP to ameliorate androgen-induced protein misfolding stress in embryonic stem cells.,"Yang YC, Fu HC, Hsiao BL, Sobue G, Adachi H, Huang FJ, Hsuuw YD, Wei KT, Chang C, Huang KE, Kang HY.",Cell Death Dis. 2013 Apr 25;4:e607. doi: 10.1038/cddis.2013.122.,4/27/2013,2013
2397,23629944,Androgen receptors in muscle fibers induce rapid loss of force but not mass: implications for spinal bulbar muscular atrophy.,"Oki K, Wiseman RW, Breedlove SM, Jordan CL.",Muscle Nerve. 2013 Jun;47(6):823-34. doi: 10.1002/mus.23813. Epub 2013 Apr 30.,5/1/2013,2013
2400,23637164,p62/SQSTM1 differentially removes the toxic mutant androgen receptor via autophagy and inclusion formation in a spinal and bulbar muscular atrophy mouse model.,"Doi H, Adachi H, Katsuno M, Minamiyama M, Matsumoto S, Kondo N, Miyazaki Y, Iida M, Tohnai G, Qiang Q, Tanaka F, Yanagawa T, Warabi E, Ishii T, Sobue G.",J Neurosci. 2013 May 1;33(18):7710-27. doi: 10.1523/JNEUROSCI.3021-12.2013.,5/3/2013,2013
2403,23643309,Prominent fatigue in spinal muscular atrophy and spinal and bulbar muscular atrophy: evidence of activity-dependent conduction block.,"Noto Y, Misawa S, Mori M, Kawaguchi N, Kanai K, Shibuya K, Isose S, Nasu S, Sekiguchi Y, Beppu M, Ohmori S, Nakagawa M, Kuwabara S.",Clin Neurophysiol. 2013 Sep;124(9):1893-8. doi: 10.1016/j.clinph.2012.12.053. Epub 2013 Apr 30.,5/7/2013,2013
2406,23644820,Androgen-dependent impairment of myogenesis in spinal and bulbar muscular atrophy.,"Malena A, Pennuto M, Tezze C, Querin G, D'Ascenzo C, Silani V, Cenacchi G, Scaramozza A, Romito S, Morandi L, Pegoraro E, Russell AP, Sorarù G, Vergani L.",Acta Neuropathol. 2013 Jul;126(1):109-21. doi: 10.1007/s00401-013-1122-9. Epub 2013 May 4.,5/7/2013,2013
2409,23645595,Pilot trial of clenbuterol in spinal and bulbar muscular atrophy.,"Querin G, D'Ascenzo C, Peterle E, Ermani M, Bello L, Melacini P, Morandi L, Mazzini L, Silani V, Raimondi M, Mandrioli J, Romito S, Angelini C, Pegoraro E, Sorarù G.",Neurology. 2013 Jun 4;80(23):2095-8. doi: 10.1212/WNL.0b013e318295d766. Epub 2013 May 3.,5/7/2013,2013
2413,23646030,Analysis of inconsistencies in terminology of spinal and bulbar muscular atrophy and its effect on retrieval of research.,Arvin S.,J Med Libr Assoc. 2013 Apr;101(2):147-50. doi: 10.3163/1536-5050.101.2.010. No abstract available.,5/7/2013,2013
2417,23648839,Three-dimensional structure of CAP-gly domain of mammalian dynactin determined by magic angle spinning NMR spectroscopy: conformational plasticity and interactions with end-binding protein EB1.,"Yan S, Hou G, Schwieters CD, Ahmed S, Williams JC, Polenova T.",J Mol Biol. 2013 Nov 15;425(22):4249-66. doi: 10.1016/j.jmb.2013.04.027. Epub 2013 May 4.,5/8/2013,2013
2421,23656576,Spinal and bulbar muscular atrophy: pathogenesis and clinical management.,"Grunseich C, Rinaldi C, Fischbeck KH.",Oral Dis. 2014 Jan;20(1):6-9. doi: 10.1111/odi.12121. Epub 2013 May 9. Review.,5/10/2013,2013
2424,23679084,No evidence of cardiomyopathy in spinal and bulbar muscular atrophy.,"Querin G, Melacini P, D'Ascenzo C, Morandi L, Mazzini L, Silani V, Romito S, Mandrioli J, Raimondi M, Pegoraro E, Soraru' G.",Acta Neurol Scand. 2013 Dec;128(6):e30-2. doi: 10.1111/ane.12140. Epub 2013 May 16.,5/18/2013,2013
2428,23689277,Sirtuin deacetylases in neurodegenerative diseases of aging.,"Herskovits AZ, Guarente L.",Cell Res. 2013 Jun;23(6):746-58. doi: 10.1038/cr.2013.70. Epub 2013 May 21. Review.,5/22/2013,2013
2431,23719921,Cell biological approaches to investigate polyglutamine-expanded AR metabolism.,"Cooper LJ, Merry DE.",Methods Mol Biol. 2013;1017:241-53. doi: 10.1007/978-1-62703-438-8_18.,5/31/2013,2013
2435,23720649,Mechanisms mediating spinal and bulbar muscular atrophy: investigations into polyglutamine-expanded androgen receptor function and dysfunction.,"Beitel LK, Alvarado C, Mokhtar S, Paliouras M, Trifiro M.",Front Neurol. 2013;4:53. doi: 10.3389/fneur.2013.00053.,5/31/2013,2013
2438,23744686,Changes of pituitary gland volume in Kennedy disease.,"Pieper CC, Teismann IK, Konrad C, Heindel WL, Schiffbauer H.",AJNR Am J Neuroradiol. 2013 Dec;34(12):2294-7. doi: 10.3174/ajnr.A3591. Epub 2013 Jun 6.,6/8/2013,2013
2441,23787009,Long-term follow-up of spinal and bulbar muscular atrophy in Taiwan.,"Fu SC, Kuo HC, Chu CC, Wu YR, Ro LS, Liu CS, Huang CC.",J Formos Med Assoc. 2013 Jun;112(6):326-31. doi: 10.1016/j.jfma.2012.03.008. Epub 2012 Jun 6.,6/22/2013,2013
2444,23790210,Anomalous protein-DNA interactions behind neurological disorders.,"Camero S, Benítez MJ, Jiménez JS.",Adv Protein Chem Struct Biol. 2013;91:37-63. doi: 10.1016/B978-0-12-411637-5.00002-0. Review.,6/26/2013,2013
2448,23810450,Clearance of the mutant androgen receptor in motoneuronal models of spinal and bulbar muscular atrophy.,"Rusmini P, Crippa V, Giorgetti E, Boncoraglio A, Cristofani R, Carra S, Poletti A.",Neurobiol Aging. 2013 Nov;34(11):2585-603. doi: 10.1016/j.neurobiolaging.2013.05.026. Epub 2013 Jun 28.,7/3/2013,2013
2451,23810106,Was Akhenaten really sick?,"Codaccioni JL, Conte-Devolx B, Argémi B.",Ann Endocrinol (Paris). 2013 Jul;74(3):231-3. doi: 10.1016/j.ando.2013.04.003. Epub 2013 Jun 25.,7/3/2013,2013
2455,23876144,Spinal muscular atrophy: a motor neuron disorder or a multi-organ disease?,"Shababi M, Lorson CL, Rudnik-Schöneborn SS.",J Anat. 2014 Jan;224(1):15-28. doi: 10.1111/joa.12083. Epub 2013 Jul 22. Review.,7/24/2013,2013
2458,23949524,[Kennedy disease in Peru: first cases with molecular diagnosis].,"Gómez-Calero V, Cornejo-Olivas M, Ortega O, Marca V, Lindo-Samanamud S, Flores M, Torres-Ramírez L, Mazzetti P.",Rev Peru Med Exp Salud Publica. 2013 Apr;30(2):331-5. Spanish.,8/21/2013,2013
2461,23996101,Focal thinning of the motor cortex mirrors clinical features of amyotrophic lateral sclerosis and their phenotypes: a neuroimaging study.,"Schuster C, Kasper E, Machts J, Bittner D, Kaufmann J, Benecke R, Teipel S, Vielhaber S, Prudlo J.",J Neurol. 2013 Nov;260(11):2856-64. doi: 10.1007/s00415-013-7083-z. Epub 2013 Aug 31.,9/3/2013,2013
2464,24035922,Different ataxin-3 amyloid aggregates induce intracellular Ca(2+) deregulation by different mechanisms in cerebellar granule cells.,"Pellistri F, Bucciantini M, Invernizzi G, Gatta E, Penco A, Frana AM, Nosi D, Relini A, Regonesi ME, Gliozzi A, Tortora P, Robello M, Stefani M.",Biochim Biophys Acta. 2013 Dec;1833(12):3155-65. doi: 10.1016/j.bbamcr.2013.08.019. Epub 2013 Sep 11.,9/17/2013,2013
2468,24040817,Pathogenic mechanisms and therapeutic strategies in spinobulbar muscular atrophy.,"Chua JP, Lieberman AP.",CNS Neurol Disord Drug Targets. 2013 Dec;12(8):1146-56. Review.,9/18/2013,2013
2472,24041967,Sequencing analysis of the spinal bulbar muscular atrophy CAG expansion reveals absence of repeat interruptions.,"Fratta P, Collins T, Pemble S, Nethisinghe S, Devoy A, Giunti P, Sweeney MG, Hanna MG, Fisher EM.",Neurobiol Aging. 2014 Feb;35(2):443.e1-3. doi: 10.1016/j.neurobiolaging.2013.07.015. Epub 2013 Sep 13.,9/18/2013,2013
2476,24042123,Determination of androgen receptor degradation enhancer ASC-J9(®) in mouse sera and organs with liquid chromatography tandem mass spectrometry.,"Soh SF, Huang CK, Lee SO, Xu D, Yeh S, Li J, Yong EL, Gong Y, Chang C.",J Pharm Biomed Anal. 2014 Jan;88:117-22. doi: 10.1016/j.jpba.2013.08.020. Epub 2013 Aug 27.,9/18/2013,2013
2480,24073646,Kennedy disease misdiagnosed as polymyositis: a case report.,"Harutunian GM, Beydoun SR, Rison RA.",BMC Res Notes. 2013 Sep 28;6:389. doi: 10.1186/1756-0500-6-389.,10/1/2013,2013
2483,24079556,Brown-Vialetto-Van Laere syndrome: clinical and neuroradiological findings of a genetically proven patient.,"Bandettini Di Poggio M, Monti Bragadin M, Reni L, Doria-Lamba L, Cereda C, Pardini M, Roccatagliata L, Rossi A, Schenone A.",Amyotroph Lateral Scler Frontotemporal Degener. 2014 Mar;15(1-2):141-4. doi: 10.3109/21678421.2013.837931. Epub 2013 Oct 1.,10/2/2013,2013
2486,24102512,Association of NFE2L2 and KEAP1 haplotypes with amyotrophic lateral sclerosis.,"Bergström P, von Otter M, Nilsson S, Nilsson AC, Nilsson M, Andersen PM, Hammarsten O, Zetterberg H.",Amyotroph Lateral Scler Frontotemporal Degener. 2014 Mar;15(1-2):130-7. doi: 10.3109/21678421.2013.839708. Epub 2013 Oct 8.,10/10/2013,2013
2489,24120273,Cerebral involvement in spinal and bulbar muscular atrophy (Kennedy's disease): a pilot study of PET.,"Lai TH, Liu RS, Yang BH, Wang PS, Lin KP, Lee YC, Soong BW.",J Neurol Sci. 2013 Dec 15;335(1-2):139-44. doi: 10.1016/j.jns.2013.09.016. Epub 2013 Sep 21.,10/15/2013,2013
2493,24150846,Transcriptional activation of TFEB/ZKSCAN3 target genes underlies enhanced autophagy in spinobulbar muscular atrophy.,"Chua JP, Reddy SL, Merry DE, Adachi H, Katsuno M, Sobue G, Robins DM, Lieberman AP.",Hum Mol Genet. 2014 Mar 1;23(5):1376-86. doi: 10.1093/hmg/ddt527. Epub 2013 Oct 22.,10/24/2013,2013
2496,24200287,"Minor cognitive disturbances in X-linked spinal and bulbar muscular atrophy, Kennedy's disease.","Kasper E, Wegrzyn M, Marx I, Korp C, Kress W, Benecke R, Teipel SJ, Prudlo J.",Amyotroph Lateral Scler Frontotemporal Degener. 2014 Mar;15(1-2):15-20. doi: 10.3109/21678421.2013.837927. Epub 2013 Nov 8.,11/10/2013,2013
2499,24206674,Brown-Vialetto-van Laere syndrome: a riboflavin responsive neuronopathy of infancy with singular features.,"Spagnoli C, Pitt MC, Rahman S, de Sousa C.",Eur J Paediatr Neurol. 2014 Mar;18(2):231-4. doi: 10.1016/j.ejpn.2013.09.006. Epub 2013 Oct 16.,11/12/2013,2013
2502,24256885,Postural leg tremor in X-linked spinal and bulbar muscular atrophy.,"Nishiyama A, Sugeno N, Tateyama M, Nishiyama S, Kato M, Aoki M.",J Clin Neurosci. 2014 May;21(5):799-802. doi: 10.1016/j.jocn.2013.07.026. Epub 2013 Oct 3.,11/22/2013,2013
2505,24291840,[MicroRNA in neurodegenerative disorders].,Sobue G.,Rinsho Shinkeigaku. 2013;53(11):942-4. Review. Japanese.,12/3/2013,2013
2508,24291826,[Overcoming neurological diseases-breakthrough for new era].,Mizusawa H.,Rinsho Shinkeigaku. 2013;53(11):893-7. Japanese.,12/3/2013,2013
2511,24291927,[History of hereditary motor and sensory neuropathy with proximal dominant involvement (HMSN-P)].,Takashima H.,Rinsho Shinkeigaku. 2013;23(11):1196-8. Japanese.,12/3/2013,2013
2514,24291929,[Neuropathology of proximal-dominant hereditary motor and sensory neuropathy (HMSN-P)].,Yoshida M.,Rinsho Shinkeigaku. 2013;23(11):1200-2. Japanese.,12/3/2013,2013
2518,24319651,The ALS/FTLD-related RNA-binding proteins TDP-43 and FUS have common downstream RNA targets in cortical neurons.,"Honda D, Ishigaki S, Iguchi Y, Fujioka Y, Udagawa T, Masuda A, Ohno K, Katsuno M, Sobue G.",FEBS Open Bio. 2013;4:1-10. doi: 10.1016/j.fob.2013.11.001. Erratum in: FEBS Open Bio. 2014;4:1030.,12/10/2013,2013
2521,24353334,Tongue pressure as a novel biomarker of spinal and bulbar muscular atrophy.,"Mano T, Katsuno M, Banno H, Suzuki K, Suga N, Hashizume A, Araki A, Watanabe H, Tanaka S, Yamamoto M, Sobue G.",Neurology. 2014 Jan 21;82(3):255-62. doi: 10.1212/WNL.0000000000000041. Epub 2013 Dec 18.,12/20/2013,2013
2524,24361063,Distinct acoustic features in spinal and bulbar muscular atrophy patients with laryngospasm.,"Tanaka S, Banno H, Katsuno M, Suzuki K, Suga N, Hashizume A, Mano T, Araki A, Watanabe H, Adachi H, Tatsumi H, Yamamoto M, Sobue G.",J Neurol Sci. 2014 Feb 15;337(1-2):193-200. doi: 10.1016/j.jns.2013.12.010. Epub 2013 Dec 11.,12/24/2013,2013
2528,24391590,More than a bystander: the contributions of intrinsic skeletal muscle defects in motor neuron diseases.,"Boyer JG, Ferrier A, Kothary R.",Front Physiol. 2013 Dec 18;4:356. doi: 10.3389/fphys.2013.00356. Review.,1/7/2014,2014
2532,24416485,Rapidly worsening bulbar symptoms in a patient with spinobulbar muscular atrophy.,"Diaz-Abad M, Porter NC.",Neurol Int. 2013;5(4):e21. doi: 10.4081/ni.2013.e21.,1/15/2014,2014
2536,24424504,Androgen receptor phosphorylation: biological context and functional consequences.,"Koryakina Y, Ta HQ, Gioeli D.",Endocr Relat Cancer. 2014 Aug;21(4):T131-45. doi: 10.1530/ERC-13-0472. Epub 2014 Jan 14. Review.,1/16/2014,2014
2539,24503148,Recent progress in the genetics of motor neuron disease.,"Finsterer J, Burgunder JM.",Eur J Med Genet. 2014 Feb;57(2-3):103-12. doi: 10.1016/j.ejmg.2014.01.002. Epub 2014 Feb 4. Review.,2/8/2014,2014
2542,24549037,Paeoniflorin eliminates a mutant AR via NF-YA-dependent proteolysis in spinal and bulbar muscular atrophy.,"Tohnai G, Adachi H, Katsuno M, Doi H, Matsumoto S, Kondo N, Miyazaki Y, Iida M, Nakatsuji H, Qiang Q, Ding Y, Watanabe H, Yamamoto M, Ohtsuka K, Sobue G.",Hum Mol Genet. 2014 Jul 1;23(13):3552-65. doi: 10.1093/hmg/ddu066. Epub 2014 Feb 18.,2/20/2014,2014
